epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,3155.36,0.7913,0.42348,1.10913,0.97401,0.95714,0.98169,0.77086,0.86239,0.33463,1.19822,0.0023179,0.0023179,0.0023179
160,3175.03,0.79145,0.42473,1.11242,0.98044,0.94895,0.98146,0.77031,0.86175,0.33412,1.20085,0.00229208,0.00229208,0.00229208
161,3195.04,0.79245,0.43199,1.10912,0.97962,0.95051,0.98139,0.77154,0.86068,0.33231,1.20019,0.00226629,0.00226629,0.00226629
162,3215.02,0.79699,0.43362,1.11562,0.97667,0.95627,0.98199,0.77147,0.86029,0.33413,1.20361,0.00224053,0.00224053,0.00224053
163,3235.07,0.78545,0.41804,1.10915,0.97028,0.9585,0.98299,0.77285,0.86006,0.33369,1.20405,0.0022148,0.0022148,0.0022148
164,3255.07,0.78863,0.42177,1.10669,0.97368,0.95792,0.98419,0.77501,0.85913,0.33073,1.20099,0.0021891,0.0021891,0.0021891
165,3274.87,0.7826,0.42198,1.1056,0.97705,0.95507,0.98412,0.77368,0.85764,0.3306,1.19682,0.00216344,0.00216344,0.00216344
166,3294.48,0.77869,0.42411,1.09678,0.97338,0.9613,0.98492,0.77499,0.85715,0.32866,1.19408,0.00213782,0.00213782,0.00213782
167,3314.07,0.77983,0.42082,1.10239,0.97424,0.96132,0.98463,0.7729,0.85672,0.33093,1.19638,0.00211225,0.00211225,0.00211225
168,3333.71,0.78348,0.41954,1.09517,0.97336,0.96169,0.98456,0.77233,0.85554,0.3295,1.19462,0.00208672,0.00208672,0.00208672
169,3353.37,0.78249,0.41432,1.0957,0.97651,0.95865,0.98327,0.77358,0.85319,0.32874,1.19042,0.00206123,0.00206123,0.00206123
170,3373.22,0.77418,0.41834,1.10177,0.97816,0.95798,0.98333,0.77344,0.85283,0.32603,1.19213,0.0020358,0.0020358,0.0020358
171,3393.14,0.77023,0.42035,1.09158,0.97937,0.95764,0.98357,0.77408,0.85231,0.32523,1.19314,0.00201042,0.00201042,0.00201042
172,3413.13,0.77325,0.41463,1.09268,0.97724,0.95912,0.98276,0.77331,0.85307,0.32513,1.19213,0.0019851,0.0019851,0.0019851
173,3433.11,0.77058,0.42045,1.09495,0.9723,0.96421,0.98272,0.77359,0.85292,0.32552,1.19171,0.00195983,0.00195983,0.00195983
174,3453.19,0.7743,0.42178,1.09011,0.97155,0.96339,0.98274,0.77377,0.85321,0.3249,1.19108,0.00193463,0.00193463,0.00193463
175,3473.2,0.76205,0.41399,1.08649,0.97172,0.9633,0.98297,0.77471,0.85304,0.32501,1.1914,0.00190949,0.00190949,0.00190949
176,3492.85,0.76006,0.40667,1.08613,0.96875,0.96695,0.98338,0.77612,0.85266,0.32449,1.19074,0.00188442,0.00188442,0.00188442
177,3512.82,0.76231,0.41141,1.09687,0.96737,0.9661,0.98334,0.77554,0.85144,0.32448,1.1933,0.00185942,0.00185942,0.00185942
178,3532.67,0.75766,0.41669,1.09218,0.96862,0.96502,0.98336,0.77675,0.8507,0.32461,1.19651,0.0018345,0.0018345,0.0018345
179,3552.63,0.75271,0.40811,1.08713,0.96828,0.96517,0.98358,0.77738,0.85001,0.32466,1.19788,0.00180965,0.00180965,0.00180965
