epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,6733.4,0.55661,0.31919,1.00741,0.97414,0.95474,0.97762,0.84876,0.63091,0.27721,1.02115,0.0059905,0.0059905,0.0059905
164,6771.72,0.54365,0.32,1.00451,0.97421,0.95561,0.97759,0.84929,0.63022,0.2775,1.0206,0.00596575,0.00596575,0.00596575
165,6811.1,0.55776,0.32443,1.00933,0.98061,0.95044,0.97743,0.84912,0.62965,0.27664,1.01977,0.005941,0.005941,0.005941
166,6853.48,0.54233,0.31477,0.99986,0.97904,0.94919,0.97711,0.84881,0.62969,0.27795,1.01919,0.00591625,0.00591625,0.00591625
167,6895.35,0.54502,0.31767,0.99962,0.97949,0.94954,0.9778,0.84856,0.62957,0.27692,1.0187,0.0058915,0.0058915,0.0058915
168,6934.16,0.54242,0.31799,1.0023,0.97852,0.94978,0.97658,0.84742,0.62903,0.27731,1.01809,0.00586675,0.00586675,0.00586675
169,6973.57,0.53796,0.31065,0.99681,0.97621,0.95241,0.97657,0.84854,0.62806,0.27702,1.01778,0.005842,0.005842,0.005842
170,7015.63,0.54659,0.31521,1.00443,0.97596,0.9528,0.97653,0.84834,0.62704,0.27751,1.01637,0.00581725,0.00581725,0.00581725
171,7057.34,0.54163,0.31362,1.00639,0.98025,0.95345,0.97742,0.84992,0.62651,0.27681,1.01578,0.0057925,0.0057925,0.0057925
172,7099.07,0.53585,0.31013,1.0034,0.97901,0.95429,0.97707,0.8496,0.6251,0.27554,1.01587,0.00576775,0.00576775,0.00576775
173,7141.15,0.53256,0.31245,1.00144,0.97821,0.95326,0.97724,0.85009,0.62456,0.27555,1.01704,0.005743,0.005743,0.005743
174,7181.09,0.53241,0.3087,0.99457,0.98077,0.95319,0.97672,0.85011,0.6242,0.2759,1.01677,0.00571825,0.00571825,0.00571825
175,7219.68,0.53073,0.30399,0.99585,0.98047,0.9534,0.9778,0.85067,0.62381,0.27629,1.01702,0.0056935,0.0056935,0.0056935
176,7260.49,0.53378,0.30329,0.99792,0.97897,0.95445,0.97731,0.85021,0.62324,0.27632,1.01685,0.00566875,0.00566875,0.00566875
177,7298.72,0.53239,0.30763,0.99452,0.97677,0.95389,0.97726,0.84989,0.62389,0.27716,1.01724,0.005644,0.005644,0.005644
178,7337.99,0.52675,0.30688,0.99014,0.97553,0.95174,0.97715,0.85137,0.6224,0.27651,1.01628,0.00561925,0.00561925,0.00561925
179,7380.59,0.53468,0.31058,0.99971,0.96941,0.95747,0.97682,0.85132,0.62092,0.27516,1.01611,0.0055945,0.0055945,0.0055945
180,7422.77,0.5273,0.30207,0.99829,0.96982,0.95984,0.977,0.84997,0.6194,0.27457,1.01507,0.00556975,0.00556975,0.00556975
181,7462.32,0.5256,0.29881,0.99109,0.97322,0.9552,0.97588,0.84935,0.61864,0.2757,1.01447,0.005545,0.005545,0.005545
